taxels_left_up,taxels_left_down,taxels_right_up,taxels_right_down,taxels_up_left,taxels_up_right,taxels_down_left,taxels_down_right,taxels_left_pressure,taxels_right_pressure,taxels_up_pressure,taxels_down_pressure
13383,14432,13725,15050,13551,16231,9947,53453,52597,11532,58787,45856
13411,14372,13758,15050,13524,16202,9916,53424,52533,11528,58762,45811
13415,14382,13781,15022,13498,16197,9941,53427,52569,11529,58769,45835
13426,14356,13813,15012,13441,16206,9893,53362,52472,11525,58739,45769
13447,14368,13843,15068,13414,16201,9932,53473,52532,11553,58735,45917
13448,14386,13845,15032,13376,16225,9890,53402,52528,11552,58764,45867
13465,14379,13837,15021,13368,16220,9913,53375,52534,11539,58723,45868
13481,14388,13847,15035,13390,16269,9902,53443,52584,11529,58834,45813
13449,14403,13817,15032,13350,16271,9919,53443,52560,11533,58740,45852
13427,14370,13812,15028,13337,16297,9886,53410,52438,11527,58729,45769
13416,14376,13793,15056,13316,16310,9925,53432,52480,11539,58685,45867
13409,14343,13799,15019,13322,16309,9893,53388,52396,11520,58664,45809
13396,14404,13755,15085,13356,16364,9928,53464,52522,11535,58756,45860
13391,14401,13737,15040,13346,16337,9948,53431,52510,11531,58696,45852
13378,14398,13731,15071,13351,16322,9938,53466,52495,11543,58667,45847
13378,14413,13715,15112,13386,16260,9894,53430,52466,11534,58672,45783
13379,14419,13713,15123,13391,16261,9913,53423,52461,11529,58673,45828
13380,14392,13710,15162,13390,16218,9915,53388,52440,11510,58627,45827
13385,14449,13685,15141,13427,16248,9938,53410,52577,11531,58727,45863
13371,14440,13686,15129,13461,16253,9911,53414,52521,11533,58714,45856
13387,14431,13689,15137,13488,16261,9904,53489,52519,11533,58787,45794
13359,14429,13680,15099,13518,16220,9877,53407,52496,11523,58700,45762
13360,14415,13682,15150,13524,16199,9928,53514,52529,11539,58684,45875
13349,14423,13704,15124,13543,16171,9904,53445,52502,11524,58742,45742
13404,14406,13716,15040,13578,16187,9946,53460,52604,11529,58754,45849
13374,14391,13708,15047,13530,16191,9915,53402,52519,11530,58697,45795
13412,14406,13748,15045,13516,16219,9980,53451,52630,11520,58734,45884
13430,14401,13790,15025,13470,16186,9925,53390,52533,11489,58698,45813
13446,14360,13815,15020,13435,16188,9906,53339,52496,11490,58704,45788
13486,14359,13824,15005,13409,16195,9897,53378,52492,11511,58728,45824
13445,14362,13786,15034,13381,16222,9927,53322,52514,11533,58709,45833
13445,14375,13764,14984,13357,16226,9919,53273,52493,11521,58678,45817
13465,14378,13810,14991,13349,16257,9932,53332,52571,11530,58719,45870
13456,14345,13827,15001,13343,16278,9887,53369,52452,11530,58741,45778
13419,14352,13793,15046,13345,16272,9902,53389,52453,11532,58673,45854
13425,14370,13769,15065,13351,16252,9936,53381,52451,11521,58665,45836
13425,14400,13797,15039,13363,16297,9931,53423,52572,11531,58712,45888
13410,14396,13729,15081,13358,16292,9947,53386,52530,11535,58676,45888
13392,14416,13734,15038,13361,16300,9929,53322,52562,11542,58707,45809
13386,14409,13729,15026,13380,16278,9926,53298,52510,11528,58688,45831
13396,14413,13721,15092,13381,16233,9921,53369,52478,11545,58651,45870
